address,chain,role,source,parent,symbol,notes
0x16613524e02ad97edfef371bc883f2f5d6c480a5,8453,core,seed,,,known_voter
0x227f65131a261548b057215bb1d5ab2997964c7d,8453,core,seed,,,known_rewards_distributor
0x35f35ca5b132cadf2916bab57639128eac5bbcb5,8453,core,seed,,,known_gauge_factory
0x4200000000000000000000000000000000000006,8453,core,seed,,,known_weth
0x5c3f18f06cc09ca1910767a34a20f771039e37c0,8453,core,seed,,,known_factory_registry
0x833589fcd6edb6e08f4c7c32d4f71b54bda02913,8453,core,seed,,,known_usdc
0x940181a94a35a4569e4529a3cdfb74e38fd98631,8453,core,seed,,,known_aero_token
0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,8453,core,seed,,,known_router
0xeb018363f0a9af8f91f06fee6613a751b2a33fe5,8453,core,seed,,,known_minter
0xebf418fe2512e7e6bd9b87a8f0f294acdc67e6b4,8453,core,seed,,,known_voting_escrow
0x50f0249b824033cf0af0c8b9fe1c67c2842a34d5,8453,gauge,voter,0x723aef6543aece026a15662be4d3fb3424d502a9,,live gauge
0xad3d4afd779e4a57734557cce25f87032614fe47,8453,gauge,voter,0xaf58fdee432a104a932a899968d60f92838886cd,,live gauge
0xf05a3de3dd6910042f506c6105bc14920c4289b6,8453,gauge,voter,0x2b7704f1cb9324cd8586b33c6c540cbd64e58237,,live gauge
0xfae8c18d83655fbf31af10d2e9a1ad5ba77d0377,8453,gauge,voter,0x2722c8f9b5e2ac72d1f225f8e8c990e449ba0078,,live gauge
0x2722c8f9b5e2ac72d1f225f8e8c990e449ba0078,8453,pool,pool_factory,0x420dd381b31aef6683db6b902084cb0ffece40da,,index=1
0x2b7704f1cb9324cd8586b33c6c540cbd64e58237,8453,pool,pool_factory,0x420dd381b31aef6683db6b902084cb0ffece40da,,index=3
0x723aef6543aece026a15662be4d3fb3424d502a9,8453,pool,pool_factory,0x420dd381b31aef6683db6b902084cb0ffece40da,,index=0
0xaf58fdee432a104a932a899968d60f92838886cd,8453,pool,pool_factory,0x420dd381b31aef6683db6b902084cb0ffece40da,,index=2
0x420dd381b31aef6683db6b902084cb0ffece40da,8453,pool_factory,factory_registry,0x5c3f18f06cc09ca1910767a34a20f771039e37c0,,index=0
0x1bee27670a1facac1b59143a387740223a203604,8453,reward_contract,voter_bribe,0xfae8c18d83655fbf31af10d2e9a1ad5ba77d0377,,IReward-compatible
0x3993152dfcee60cbf6e6c68d00b15c1c08fcae24,8453,reward_contract,voter_bribe,0xad3d4afd779e4a57734557cce25f87032614fe47,,IReward-compatible
0x8cc161140fbab7baa80369a0f0bd621cf667c022,8453,reward_contract,voter_fees,0xfae8c18d83655fbf31af10d2e9a1ad5ba77d0377,,IReward-compatible
0x958a5612390bb4134e1e7505c7cb6b0652941174,8453,reward_contract,voter_fees,0x50f0249b824033cf0af0c8b9fe1c67c2842a34d5,,IReward-compatible
0xaa89a3a9d0a5c48ac686c4a699f24b72a42f4547,8453,reward_contract,voter_fees,0xf05a3de3dd6910042f506c6105bc14920c4289b6,,IReward-compatible
0xb0b88ca338f183d2fbabab0f75ba3c90424131d9,8453,reward_contract,voter_bribe,0x50f0249b824033cf0af0c8b9fe1c67c2842a34d5,,IReward-compatible
0xe6742fae461ecaf4c6dbd3eb0e3e482bcb2c5567,8453,reward_contract,voter_bribe,0xf05a3de3dd6910042f506c6105bc14920c4289b6,,IReward-compatible
0xf5c0f1f4a4dcb52cd67be2e39784d87865a2b957,8453,reward_contract,voter_fees,0xad3d4afd779e4a57734557cce25f87032614fe47,,IReward-compatible
0x26f3901ac8a79c50fb0d8289c74f0d09adc42e29,8453,reward_token,bribe_reward_contract,0xb0b88ca338f183d2fbabab0f75ba3c90424131d9,,reward distribution token
0x50c5725949a6f0c72e6c4a641f24049a917db0cb,8453,reward_token,bribe_reward_contract,0x3993152dfcee60cbf6e6c68d00b15c1c08fcae24,,reward distribution token
0x96e890c6b2501a69cad5dba402bfb871a2a2874c,8453,reward_token,bribe_reward_contract,0x3993152dfcee60cbf6e6c68d00b15c1c08fcae24,,reward distribution token
0x236aa50979d5f3de3bd1eeb40e81137f22ab794b,8453,token,pool_metadata,0x723aef6543aece026a15662be4d3fb3424d502a9,,pool token
0x2dad3a13ef0c6366220f989157009e501e7938f8,8453,token,pool_metadata,0x2b7704f1cb9324cd8586b33c6c540cbd64e58237,,pool token
0xd9aaec86b65d86f6a7b5b1b0c42ffa531710b6ca,8453,token,pool_metadata,0x723aef6543aece026a15662be4d3fb3424d502a9,,pool token
